kuupaev,kell00,kell06,kell12,kell18,kell24
01.02.17,-4,-6,-8,-1,-9
02.02.17,-2,-6,10,-6,5
03.02.17,-4,-4,5,-10,4
04.02.17,10,1,5,7,-1
05.02.17,-5,9,-8,-8,-8
06.02.17,5,9,-9,-5,1
07.02.17,3,-5,6,-10,10
08.02.17,-5,-4,10,4,9
09.02.17,-5,-9,2,8,9
10.02.17,5,5,8,3,4
11.02.17,6,5,-6,1,10
12.02.17,0,6,-7,-4,5
13.02.17,-8,-9,3,-4,-2
14.02.17,8,-9,8,6,-3
15.02.17,5,2,0,-6,3
16.02.17,-4,1,10,-4,5
17.02.17,2,10,9,1,-5
18.02.17,3,-6,4,-8,9
19.02.17,-4,7,8,-5,-3
20.02.17,-9,1,1,-8,-5
21.02.17,-1,-3,8,8,10
22.02.17,1,-10,0,2,5
23.02.17,8,4,-3,-5,-1
24.02.17,-9,8,8,5,9
25.02.17,7,1,-2,0,-10
26.02.17,8,-3,4,-7,-4
27.02.17,-1,5,-3,1,1
28.02.17,9,-6,-1,-2,1
